‰Round 1 Zexor FANNY throws a 4 and Hydron Edgard defends by throwing a 6 so Hydron Edgard wins this Round.
Round 2 Zexor FANNY throws a 16,and Hydron Edgard defends by throwing a 3 so Zexor FANNY wins this Round.
Round 3 Zexor FANNY throws a 15,and Hydron Edgard defends by throwing a 2 so Zexor FANNY wins this Round.
Final Score: FANNY has 35 and Edgard has 11 ,so FANNY is the final winner
lRound 1 Zexor FANNY throws a 11,and Hydron CATHY defends by throwing a 7 so Zexor FANNY wins this Round.
Round 2 Zexor FANNY throws a 11 and Hydron CATHY defends by throwing a 17 so Hydron CATHY wins this Round.
Round 3 Zexor FANNY throws a 2 and Hydron CATHY defends by throwing a 4 so Hydron CATHY wins this Round.
Round 1 Draw game.
Round 2 Zexor FANNY throws a 3 and Hydron CATHY defends by throwing a 18 so Hydron CATHY wins this Round.
Round 3 Zexor FANNY throws a 6 and Hydron CATHY defends by throwing a 8 so Hydron CATHY wins this Round.
Round 1 Zexor FANNY throws a 5,and Hydron CATHY defends by throwing a 4 so Zexor FANNY wins this Round.
Round 2 Zexor FANNY throws a 7,and Hydron CATHY defends by throwing a 3 so Zexor FANNY wins this Round.
Round 3 Zexor FANNY throws a 3 and Hydron CATHY defends by throwing a 5 so Hydron CATHY wins this Round.
Round 1 Zexor FANNY throws a 2,and Hydron CATHY defends by throwing a 1 so Zexor FANNY wins this Round.
Round 2 Draw game.
Round 3 Zexor FANNY throws a 4,and Hydron CATHY defends by throwing a 1 so Zexor FANNY wins this Round.
Round 1 Zexor FANNY throws a 4,and Hydron CATHY defends by throwing a 3 so Zexor FANNY wins this Round.
Round 2 Zexor FANNY throws a 1 and Hydron CATHY defends by throwing a 7 so Hydron CATHY wins this Round.
Round 3 Zexor FANNY throws a 3 and Hydron CATHY defends by throwing a 20 so Hydron CATHY wins this Round.
Round 1 Zexor FANNY throws a 8,and Hydron CATHY defends by throwing a 5 so Zexor FANNY wins this Round.
Round 2 Zexor FANNY throws a 16,and Hydron CATHY defends by throwing a 15 so Zexor FANNY wins this Round.
Round 3 Zexor FANNY throws a 9,and Hydron CATHY defends by throwing a 5 so Zexor FANNY wins this Round.
Final Score : CATHY has 28 and FANNY has 24 ,so CATHY is the final winner
Final Score : CATHY has 31 and FANNY has 14 ,so CATHY is the final winner
Final Score: FANNY has 15 and CATHY has 12 ,so FANNY is the final winner
Final Score: FANNY has 20 and CATHY has 16 ,so FANNY is the final winner
Final Score : CATHY has 30 and FANNY has 8 ,so CATHY is the final winner
Final Score: FANNY has 33 and CATHY has 25 ,so FANNY is the final winner

#Round 1 Zexor MARK throws a 5 and Hydron CATHY defends by throwing a 7 so Hydron CATHY wins this Round.
Round 2 Zexor MARK throws a 10,and Hydron CATHY defends by throwing a 9 so Zexor MARK wins this Round.
Round 3 Zexor MARK throws a 13,and Hydron CATHY defends by throwing a 1 so Zexor MARK wins this Round.
Round 1 Zexor MARK throws a 1 and Hydron CATHY defends by throwing a 9 so Hydron CATHY wins this Round.
Round 2 Zexor MARK throws a 16,and Hydron CATHY defends by throwing a 2 so Zexor MARK wins this Round.
Round 3 Zexor MARK throws a 5 and Hydron CATHY defends by throwing a 15 so Hydron CATHY wins this Round.
Round 1 Zexor MARK throws a 3 and Hydron CATHY defends by throwing a 4 so Hydron CATHY wins this Round.
Round 2 Zexor MARK throws a 6,and Hydron CATHY defends by throwing a 5 so Zexor MARK wins this Round.
Round 3 Zexor MARK throws a 5 and Hydron CATHY defends by throwing a 6 so Hydron CATHY wins this Round.
Round 1 Draw game.
Round 2 Zexor MARK throws a 7 and Hydron CATHY defends by throwing a 8 so Hydron CATHY wins this Round.
Round 3 Zexor MARK throws a 1 and Hydron CATHY defends by throwing a 3 so Hydron CATHY wins this Round.
Round 1 Zexor MARK throws a 6 and Hydron CATHY defends by throwing a 7 so Hydron CATHY wins this Round.
Round 2 Zexor MARK throws a 2 and Hydron CATHY defends by throwing a 13 so Hydron CATHY wins this Round.
Round 3 Zexor MARK throws a 1 and Hydron CATHY defends by throwing a 3 so Hydron CATHY wins this Round.
Round 1 Zexor MARK throws a 3,and Hydron CATHY defends by throwing a 2 so Zexor MARK wins this Round.
Round 2 Zexor MARK throws a 4,and Hydron CATHY defends by throwing a 3 so Zexor MARK wins this Round.
Round 3 Zexor MARK throws a 18,and Hydron CATHY defends by throwing a 2 so Zexor MARK wins this Round.
Round 1 Zexor MARK throws a 3,and Hydron CATHY defends by throwing a 1 so Zexor MARK wins this Round.
Round 2 Zexor MARK throws a 9 and Hydron CATHY defends by throwing a 10 so Hydron CATHY wins this Round.
Round 3 Zexor MARK throws a 5 and Hydron CATHY defends by throwing a 9 so Hydron CATHY wins this Round.
Final Score: MARK has 28 and CATHY has 17 ,so MARK is the final winner
Final Score : CATHY has 26 and MARK has 22 ,so CATHY is the final winner
Final Score : CATHY has 15 and MARK has 14 ,so CATHY is the final winner
Final Score : CATHY has 19 and MARK has 16 ,so CATHY is the final winner
Final Score : CATHY has 23 and MARK has 9 ,so CATHY is the final winner
Final Score: MARK has 25 and CATHY has 7 ,so MARK is the final winner
Final Score : CATHY has 20 and MARK has 17 ,so CATHY is the final winner
